exclusion_id,analysis_profile,granularity,token_id,locus_id,source_reference,reason_code,resolution_status,related_passage_ids_json,source_id,source_version
X_CLAUSE_702122557c5eb8935ed127f0c2a24821cf1145f46f90d5f272dfacf3b1497dd4,critical_core,clause,HB_1CHR_011_017_0001~5fcc18f60078,KQL_1CH_011_017_0001,1CH 11:17,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_6d2a569970b9a71cb30917f56426e851ab2105c9733507acfe4860a150e7e3e2,critical_core,clause,HB_1CHR_011_020_0016~15746c0a05a3,KQL_1CH_011_020_0016,1CH 11:20,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_da2e1820b27682c6947171c3c38e5e3d6f740a498228c2878552d42e9163f7d4,critical_core,clause,HB_1CHR_018_010_0008~332b56c82f3e,KQL_1CH_018_010_0008,1CH 18:10,ketiv_clause_mapping_unresolved,unresolved,"[""P_HB_CRITICAL_CORE_KETIV_CLAUSE_1CH_018_010~bc9f45c3b4e214101a7b068fb7f3e6f2eee547523941e7f715486971d46b7e92""]",oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_b4d8398d658b6193a869c45f34184d4092630150ad2d32f0092c8fb0432ecfda,critical_core,clause,HB_1CHR_025_001_0010~7250ec7bc970,KQL_1CH_025_001_0010,1CH 25:1,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_70d6eead6262543f3e014c0cc2ef06c79cbdfeee113131d342110d19e63e7138,critical_core,clause,HB_1CHR_026_025_0011~adf868d5299c,KQL_1CH_026_025_0011,1CH 26:25,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_dd924da36775682b1578c70d0d6204540f01c2fab92a00e21abefb234a03d039,critical_core,clause,HB_1CHR_002_016_0001~3e23e43da308,KQL_1CH_002_016_0001,1CH 2:16,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_133b3a4875608a5329cdfb75c486131621e0d4049afe8c2f29cd1b2869dbd29c,critical_core,clause,HB_1KGS_012_012_0001~4786a523807f,KQL_1KI_012_012_0001,1KI 12:12,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_8ae8de99ae0ea810c9e917d0db90f43db8a4762292af1b1d6a1544aac0108bac,critical_core,clause,HB_1KGS_012_021_0001~f16522a59671,KQL_1KI_012_021_0001,1KI 12:21,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_6c376e3a5d8a6d3a3fec92e957b08f84170aff26908b69d170b054afa9a1abd3,critical_core,clause,HB_1KGS_012_003_0004~ad0eadb09a97,KQL_1KI_012_003_0004,1KI 12:3,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_5f77609c7fc1d80fc2fda396df24a079114110e54304a070fc4abf98f5338cad,critical_core,clause,HB_1KGS_012_007_0001~a89d6712e70d,KQL_1KI_012_007_0001,1KI 12:7,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
