book,source_reference,analysis_profile,mapping_status,mapping_confidence,reference_gap,disputed_passage,risk_type,endpoint_count,sample_ordinal
1CH,1Chr.6.1-1Chr.6.81,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
1CH,1Chr.6.54-1Chr.6.81,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,5,2
1CH,1Chr.6.66-1Chr.6.67,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,3
1CH,1Chr.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4,1
1CH,1Chr.1.1-1Chr.1.3,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3,2
1CH,1Chr.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,3
1CH,1Chr.6.67,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,13,1
1CH,1Chr.6.68,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,9,2
1CH,1Chr.6.69,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,4,3
1CH,1Chr.6.1-1Chr.6.81,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
1CH,1Chr.6.54-1Chr.6.81,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,5,2
1CH,1Chr.6.66-1Chr.6.67,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,3
1CH,1Chr.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4,1
1CH,1Chr.1.1-1Chr.1.3,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3,2
1CH,1Chr.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2,3
1CH,1Chr.6.67,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,13,1
1CH,1Chr.6.68,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,9,2
1CH,1Chr.6.69,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,4,3
1CO,1Cor.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,37,1
1CO,1Cor.1.1-1Cor.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3,2
1CO,1Cor.1.1-1Cor.1.3,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,3
1CO,1Cor.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,37,1
1CO,1Cor.1.1-1Cor.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3,2
1CO,1Cor.1.1-1Cor.1.3,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,3
1JN,1John.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,37,1
1JN,1John.1.1-1John.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12,2
1JN,1John.1.1-1John.1.3,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,19,3
1JN,1John.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,37,1
1JN,1John.1.1-1John.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12,2
1JN,1John.1.1-1John.1.3,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,19,3
1KI,1Kgs.4.1-1Kgs.4.27,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
1KI,1Kgs.4.1-1Kgs.4.34,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,2
1KI,1Kgs.4.20-1Kgs.4.21,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,2,3
1KI,1Kgs.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,14,1
1KI,1Kgs.1.1-1Kgs.1.4,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
1KI,1Kgs.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,5,3
1KI,1Kgs.4.21,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,37,1
