book,analysis_profile,mapping_status,mapping_confidence,reference_gap,disputed_passage,risk_type,endpoint_count
1CH,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,10
1CH,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,9029
1CH,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,95
1CH,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,10
1CH,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,9029
1CH,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,95
1CO,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12033
1CO,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12033
1JN,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4744
1JN,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4744
1KI,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,8
1KI,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12837
1KI,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,240
1KI,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,8
1KI,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12837
1KI,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,240
1PE,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,6238
1PE,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,6238
1SA,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,2
1SA,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12210
1SA,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,12
1SA,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,2
1SA,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12210
1SA,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,12
1TH,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3932
1TH,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3932
1TI,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4751
1TI,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4751
2CH,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,11
2CH,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12763
2CH,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,11
2CH,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,11
2CH,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,12763
2CH,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,11
2CO,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,9223
2CO,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,65
2CO,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,9223
2CO,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,65
2JN,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,336
2JN,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,336
2KI,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,2
2KI,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,11424
2KI,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,7
2KI,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,2
2KI,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,11424
2KI,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,7
2PE,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2897
2PE,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2897
2SA,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1
2SA,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,9593
2SA,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,27
2SA,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1
2SA,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,9593
2SA,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,27
2TH,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2059
2TH,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2059
2TI,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3640
2TI,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,3640
3JN,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,314
3JN,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,314
ACT,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,6
ACT,critical_core,mapped_partial,partial_provisional,True,False,reference_gap,41
ACT,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,27028
ACT,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,4
ACT,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,6
ACT,edition_complete,mapped_partial,partial_provisional,True,False,reference_gap,41
ACT,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,27028
ACT,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,4
AMO,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4197
AMO,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4197
COL,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4289
COL,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4289
DAN,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,58
DAN,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,9000
DAN,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,223
DAN,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,58
DAN,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,9000
DAN,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,223
DEU,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,7
DEU,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,19001
DEU,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,97
DEU,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,7
DEU,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,19001
DEU,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,97
ECC,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,4
ECC,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4971
ECC,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,10
ECC,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,4
ECC,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,4971
ECC,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,10
EPH,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,7706
EPH,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,7706
EST,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2123
EST,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,2123
